,0
92,0.1657576858997345
93,0.15062418580055237
94,0.14520300924777985
95,0.17113955318927765
96,0.11452740430831909
97,0.14381234347820282
98,0.17787209153175354
99,0.16504663228988647
100,0.14547456800937653
101,0.13923901319503784
102,0.14463426172733307
103,0.15280839800834656
104,0.16837178170681
105,0.12169481068849564
106,0.17641128599643707
107,0.13628427684307098
108,0.15586736798286438
109,0.21999219059944153
110,0.1313232034444809
111,0.16055211424827576
112,0.17400707304477692
113,0.1606285274028778
114,0.13536880910396576
115,0.142781600356102
116,0.14597515761852264
117,0.14934279024600983
118,0.0931113213300705
119,0.15314079821109772
120,0.16626900434494019
121,0.17280080914497375
122,0.16877426207065582
123,0.14673610031604767
124,0.11635471135377884
125,0.13407008349895477
126,0.16711069643497467
127,0.10922901332378387
128,0.12851987779140472
129,0.15112797915935516
130,0.13020457327365875
131,0.1274871975183487
132,0.16889533400535583
133,0.1812732219696045
134,0.11408066004514694
135,0.12189367413520813
136,0.20609484612941742
137,0.11592905968427658
138,0.12900236248970032
139,0.18031300604343414
140,0.16736432909965515
141,0.133944571018219
142,0.13651129603385925
143,0.16365517675876617
144,0.1067323386669159
145,0.10530250519514084
146,0.11804290115833282
147,0.13535036146640778
148,0.09575037658214569
149,0.09713507443666458
150,0.16367898881435394
151,0.15568819642066956
152,0.21291610598564148
153,0.14042448997497559
154,0.11915912479162216
155,0.16201330721378326
156,0.11539801210165024
157,0.1253306120634079
158,0.11842245608568192
159,0.10275690257549286
160,0.12684684991836548
161,0.13124608993530273
162,0.1360289454460144
163,0.12894664704799652
164,0.10634125769138336
165,0.11438020318746567
166,0.20644643902778625
167,0.19175270199775696
168,0.1350828856229782
169,0.14727851748466492
170,0.11172010749578476
171,0.1323017179965973
172,0.16011928021907806
173,0.11073293536901474
174,0.11461925506591797
175,0.09705659002065659
176,0.19518475234508514
177,0.22855301201343536
178,0.14080728590488434
179,0.1518305242061615
180,0.10861437767744064
181,0.1265125423669815
182,0.11171531677246094
183,0.18819645047187805
184,0.12414819002151489
185,0.18363803625106812
186,0.12032652646303177
187,0.1298886388540268
188,0.15420633554458618
189,0.12399949133396149
190,0.11953664571046829
191,0.1772172451019287
192,0.11501848697662354
193,0.15263746678829193
194,0.11334457248449326
195,0.11047476530075073
196,0.13348834216594696
197,0.111540287733078
198,0.12874546647071838
199,0.15387988090515137
200,0.11786781251430511
201,0.09658798575401306
202,0.13334473967552185
203,0.10336880385875702
204,0.13879472017288208
205,0.12178327888250351
206,0.09356149286031723
207,0.15611788630485535
208,0.14344583451747894
209,0.13326621055603027
210,0.13004304468631744
211,0.08824026584625244
212,0.16821591556072235
213,0.1499074399471283
214,0.15798968076705933
215,0.10320058465003967
216,0.1512751579284668
217,0.11496403813362122
218,0.12311571836471558
219,0.13656270503997803
220,0.09805899858474731
221,0.123077891767025
222,0.14555944502353668
